processo_enquadramento,fornecedor,cnpj_cpf,contratacao_objeto,fundamento_legal,vigencia_inicio,vigencia_fim,contrato_valor_txt,contrato_saldo_bruto,situacao,contrato_currency,contrato_amount
Dispensa,PETROBRAS NETHERLANDS B.V.,EXTERNO,SOBRESSALENTES PELLEGRINI,"Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS,",01/02/2018,18/05/2018,"US$ 66.790,49","US$ 66.790,49",Ativo,US$,66790.49
Dispensa,WEG AUTOMACAO CRITICAL POWER LTDA,00.668.382/0001-26,Prestação de serviços de procedimentos necessários para efet,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",10/03/2018,12/03/2018,"R$ 6.000,00","R$ 6.000,00",Ativo,R$,6000.00
Dispensa,SMITHS BRASIL LTDA,04.480.563/0001-85,Acoplamento,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",15/01/2018,31/03/2018,"R$ 5.718,86","R$ 5.718,86",Ativo,R$,5718.86
Dispensa,PWR MISSION INDUSTRIA MECANICA S/A,42.409.201/0001-97,Serviço de recuperação em corpo e pistões do BOP anular.,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",08/01/2018,31/03/2018,"R$ 132.357,32","R$ 132.357,32",Ativo,R$,132357.32
Convite,CCI - CONTROL COMPONENTS INC.,EXTERNO,Serviços de comissionamento,"3.1, C - Mínimo de 3 fornecedores, do ramo pertinente ao obj",02/01/2018,30/12/2018,"US$ 8.500,00","US$ 8.500,00",Ativo,US$,8500.00
Dispensa,CAMERON TECNOLOGIA DE CONTROLE DE,07.673.377/0003-12,KIT DE MATERIAL,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",10/01/2018,24/07/2018,"R$ 78.488,05","R$ 78.488,05",Ativo,R$,78488.05
Dispensa,FRESADORA SANT ANA LTDA,50.859.446/0001-44,Eixo,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",15/01/2018,24/02/2018,"R$ 17.543,89","R$ 0,00",Concluído,R$,17543.89
Dispensa,GALPERTI DO BRASIL COMERCIAL E,12.143.076/0001-55,Flange WN LF2 FR 150# DN16  0.250,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",30/01/2018,07/03/2018,"R$ 4.253,69","R$ -217,79",Concluído,R$,4253.69
Dispensa,FLUTROL COMERCIO E CONTROLE DE,68.351.204/0001-00,Bomba,"Dispensa, Dec. 2745, 2.4, CAPUT - Contratação Direta",16/01/2018,20/02/2018,"R$ 36.031,59","R$ 0,00",Concluído,R$,36031.59
Dispensa,H.C.I HIDRAULICA CONEXOES,62.312.426/0001-38,Flange de aço tipo sobreposto,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",18/01/2018,26/03/2018,"R$ 1.270,09","R$ 1.270,09",Cancelado,R$,1270.09
